Auftrag;Geometrie;DruckerID;Volumen;Filamentdichte;Wirkleistung
4;Quader;2;125;55;56.839552
4;Quader;2;125;55;56.839552
4;Quader;2;125;55;57.330042
4;Quader;2;125;55;56.790888
4;Quader;2;125;55;56.790888
4;Quader;2;125;55;56.888216
4;Quader;2;125;55;57.370698
4;Quader;2;125;55;56.85372
4;Quader;2;125;55;56.985544
4;Quader;2;125;55;56.755204
4;Quader;2;125;55;57.263514
4;Quader;2;125;55;56.829465
4;Quader;2;125;55;56.985544
4;Quader;2;125;55;56.829465
4;Quader;2;125;55;57.41967
4;Quader;2;125;55;56.673232
4;Quader;2;125;55;56.863884
4;Quader;2;125;55;56.863884
4;Quader;2;125;55;57.019424
4;Quader;2;125;55;56.528164
4;Quader;2;125;55;56.780955
4;Quader;2;125;55;57.009876
4;Quader;2;125;55;57.36115
4;Quader;2;125;55;56.4564
4;Quader;2;125;55;56.99925
4;Quader;2;125;55;56.95074
4;Quader;2;125;55;56.877975
4;Quader;2;125;55;56.492744
4;Quader;2;125;55;57.214696
4;Quader;2;125;55;56.673232
4;Quader;2;125;55;56.65968
4;Quader;2;125;55;56.431452
4;Quader;2;125;55;56.81522
4;Quader;2;125;55;56.732445
4;Quader;2;125;55;56.961212
4;Quader;2;125;55;56.85372
4;Quader;2;125;55;57.190287
4;Quader;2;125;55;56.649054
4;Quader;2;125;55;57.193551
4;Quader;2;125;55;56.47394
4;Quader;2;125;55;56.921554
4;Quader;2;125;55;56.764344
4;Quader;2;125;55;56.921554
4;Quader;2;125;55;56.715048
4;Quader;2;125;55;56.946281
4;Quader;2;125;55;56.896827
4;Quader;2;125;55;56.6904
4;Quader;2;125;55;56.120889
4;Quader;2;125;55;56.847373
4;Quader;2;125;55;56.8721
4;Quader;2;125;55;56.557838
4;Quader;2;125;55;56.169711
4;Quader;2;125;55;56.8721
4;Quader;2;125;55;57.004188
4;Quader;2;125;55;56.665752
4;Quader;2;125;55;55.9636
4;Quader;2;125;55;56.797919
4;Quader;2;125;55;56.979382
4;Quader;2;125;55;56.797919
4;Quader;2;125;55;55.890604
4;Quader;2;125;55;57.004188
4;Quader;2;125;55;56.847373
4;Quader;2;125;55;56.327
4;Quader;2;125;55;56.1453
4;Quader;2;125;55;56.715048
4;Quader;2;125;55;57.128218
4;Quader;2;125;55;56.5087
4;Quader;2;125;55;56.267355
4;Quader;2;125;55;57.359925
4;Quader;2;125;55;56.971008
4;Quader;2;125;55;56.680683
4;Quader;2;125;55;56.182588
4;Quader;2;125;55;57.103412
4;Quader;2;125;55;57.0538
4;Quader;2;125;55;56.40047
4;Quader;2;125;55;56.08526
4;Quader;2;125;55;56.971008
4;Quader;2;125;55;56.995735
4;Quader;2;125;55;56.42496
4;Quader;2;125;55;56.036596
4;Quader;2;125;55;57.103412
4;Quader;2;125;55;57.103412
4;Quader;2;125;55;56.606976
4;Quader;2;125;55;56.08526
4;Quader;2;125;55;56.788992
4;Quader;2;125;55;56.788992
4;Quader;2;125;55;56.44945
4;Quader;2;125;55;56.012264
4;Quader;2;125;55;57.0538
4;Quader;2;125;55;57.96
4;Quader;2;125;55;55.7819
4;Quader;2;125;55;56.169711
4;Quader;2;125;55;57.33504
4;Quader;2;125;55;56.764344
4;Quader;2;125;55;55.8558
4;Quader;2;125;55;55.723824
4;Quader;2;125;55;57.741732
4;Quader;2;125;55;56.828097
4;Quader;2;125;55;55.87998
4;Quader;2;125;55;56.194122
4;Quader;2;125;55;57.290142
4;Quader;2;125;55;57.193551
4;Quader;2;125;55;55.461252
4;Quader;2;125;55;55.890219
4;Quader;2;125;55;57.084768
4;Quader;2;125;55;56.674488
4;Quader;2;125;55;55.25905
4;Quader;2;125;55;56.542824
4;Quader;2;125;55;56.747964
4;Quader;2;125;55;56.90412
4;Quader;2;125;55;55.25905
4;Quader;2;125;55;56.487054
4;Quader;2;125;55;56.674488
4;Quader;2;125;55;56.542824
4;Quader;2;125;55;55.057002
4;Quader;2;125;55;56.828097
4;Quader;2;125;55;56.649996
4;Quader;2;125;55;56.93688
4;Quader;2;125;55;55.243422
4;Quader;2;125;55;56.47394
4;Quader;2;125;55;57.202636
4;Quader;2;125;55;56.778959
4;Quader;2;125;55;55.339206
4;Quader;2;125;55;56.59639
4;Quader;2;125;55;57.509235
4;Quader;2;125;55;56.961528
4;Quader;2;125;55;55.339206
4;Quader;2;125;55;56.803528
4;Quader;2;125;55;57.559005
4;Quader;2;125;55;55.95252
4;Quader;2;125;55;55.080795
4;Quader;2;125;55;56.862936
4;Quader;2;125;55;57.103412
4;Quader;2;125;55;56.169711
4;Quader;2;125;55;55.063476
4;Quader;2;125;55;57.30186
4;Quader;2;125;55;56.93688
4;Quader;2;125;55;55.471416
4;Quader;2;125;55;55.152174
4;Quader;2;125;55;56.2716
4;Quader;2;125;55;57.158712
4;Quader;2;125;55;55.73568
4;Quader;2;125;55;55.19976
4;Quader;2;125;55;56.09296
4;Quader;2;125;55;57.389046
4;Quader;2;125;55;55.223553
4;Quader;2;125;55;55.175967
4;Quader;2;125;55;55.91432
4;Quader;2;125;55;57.351472
4;Quader;2;125;55;55.339206
4;Quader;2;125;55;55.723824
4;Quader;2;125;55;56.469582
4;Quader;2;125;55;57.326666
4;Quader;2;125;55;55.49544
4;Quader;2;125;55;55.49544
4;Quader;2;125;55;56.21616
4;Quader;2;125;55;57.109416
4;Quader;2;125;55;55.33066
4;Quader;2;125;55;55.533093
4;Quader;2;125;55;57.134064
4;Quader;2;125;55;57.134064
4;Quader;2;125;55;55.40227
4;Quader;2;125;55;55.962522
4;Quader;2;125;55;56.870424
4;Quader;2;125;55;57.339594
4;Quader;2;125;55;55.223553
4;Quader;2;125;55;55.3784
4;Quader;2;125;55;56.493996
4;Quader;2;125;55;57.949502
4;Quader;2;125;55;55.747926
4;Quader;2;125;55;55.591536
4;Quader;2;125;55;56.313504
4;Quader;2;125;55;57.949502
4;Quader;2;125;55;55.080795
4;Quader;2;125;55;55.820232
4;Quader;2;125;55;56.51841
4;Quader;2;125;55;57.816624
4;Quader;2;125;55;55.104588
4;Quader;2;125;55;56.00088
4;Quader;2;125;55;56.33784
4;Quader;2;125;55;57.751122
4;Quader;2;125;55;55.02112
